epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,124.854,0.69656,0.9597,1.09117,0.81631,0.48619,0.60047,0.3329,1.68833,1.8868,1.44865,2.75753e-05,2.75753e-05,2.75753e-05
67,126.516,0.73436,1.13827,1.10331,0.81631,0.48619,0.60047,0.3329,1.68833,1.8868,1.44865,2.7222e-05,2.7222e-05,2.7222e-05
68,128.202,1.0208,1.74302,1.37658,0.81631,0.48619,0.60047,0.3329,1.68833,1.8868,1.44865,2.68451e-05,2.68451e-05,2.68451e-05
69,129.913,0.61234,1.11311,1.10451,0.83455,0.48372,0.55655,0.29771,1.70461,1.9464,1.44039,2.64447e-05,2.64447e-05,2.64447e-05
70,131.666,1.04599,0.88653,1.48399,0.83455,0.48372,0.55655,0.29771,1.70461,1.9464,1.44039,2.60207e-05,2.60207e-05,2.60207e-05
71,133.34,0.95001,1.26564,1.32579,0.83455,0.48372,0.55655,0.29771,1.70461,1.9464,1.44039,2.55731e-05,2.55731e-05,2.55731e-05
72,135.168,0.6056,0.64402,1.09309,0.83222,0.47628,0.55703,0.29433,1.7817,1.99117,1.47304,2.5102e-05,2.5102e-05,2.5102e-05
73,136.947,0.69002,0.93424,1.05028,0.83222,0.47628,0.55703,0.29433,1.7817,1.99117,1.47304,2.46073e-05,2.46073e-05,2.46073e-05
74,138.609,0.79586,0.63542,1.24702,0.83222,0.47628,0.55703,0.29433,1.7817,1.99117,1.47304,2.40891e-05,2.40891e-05,2.40891e-05
75,140.593,0.71102,0.54775,1.13225,0.82634,0.47033,0.57222,0.2859,1.83647,1.98984,1.49198,2.35472e-05,2.35472e-05,2.35472e-05
76,142.336,0.63428,0.74112,1.12577,0.82634,0.47033,0.57222,0.2859,1.83647,1.98984,1.49198,2.29819e-05,2.29819e-05,2.29819e-05
77,144.13,0.6963,0.65283,1.12678,0.82634,0.47033,0.57222,0.2859,1.83647,1.98984,1.49198,2.23929e-05,2.23929e-05,2.23929e-05
78,145.956,0.88161,1.01974,1.20175,0.84105,0.46667,0.59897,0.29113,1.82291,2.01899,1.4913,2.17805e-05,2.17805e-05,2.17805e-05
79,147.618,0.58818,0.82579,1.09413,0.84105,0.46667,0.59897,0.29113,1.82291,2.01899,1.4913,2.11444e-05,2.11444e-05,2.11444e-05
80,149.316,0.76179,0.74267,1.22162,0.84105,0.46667,0.59897,0.29113,1.82291,2.01899,1.4913,2.04848e-05,2.04848e-05,2.04848e-05
81,151.105,0.52872,0.5156,0.9847,0.82605,0.4684,0.57341,0.28797,1.86216,2.04484,1.53705,1.98016e-05,1.98016e-05,1.98016e-05
82,152.922,0.80394,0.67686,1.14069,0.82605,0.4684,0.57341,0.28797,1.86216,2.04484,1.53705,1.90949e-05,1.90949e-05,1.90949e-05
83,154.643,0.82388,0.8722,1.23903,0.82605,0.4684,0.57341,0.28797,1.86216,2.04484,1.53705,1.83646e-05,1.83646e-05,1.83646e-05
84,156.327,0.78667,0.56652,1.20653,0.82852,0.48207,0.60052,0.3006,1.85755,2.075,1.53698,1.76107e-05,1.76107e-05,1.76107e-05
85,158.01,0.5867,0.74956,1.12024,0.82852,0.48207,0.60052,0.3006,1.85755,2.075,1.53698,1.68333e-05,1.68333e-05,1.68333e-05
86,159.68,0.76772,0.66151,1.11747,0.82852,0.48207,0.60052,0.3006,1.85755,2.075,1.53698,1.60323e-05,1.60323e-05,1.60323e-05
87,161.357,0.76442,0.80328,1.0682,0.82852,0.48207,0.60052,0.3006,1.85755,2.075,1.53698,1.52077e-05,1.52077e-05,1.52077e-05
88,163.095,0.82824,0.86755,1.40979,0.83884,0.47794,0.525,0.27759,1.86455,2.08865,1.52209,1.43596e-05,1.43596e-05,1.43596e-05
89,164.757,0.96998,0.96414,1.46079,0.83884,0.47794,0.525,0.27759,1.86455,2.08865,1.52209,1.34879e-05,1.34879e-05,1.34879e-05
90,166.564,0.64207,0.62511,0.99898,0.83884,0.47794,0.525,0.27759,1.86455,2.08865,1.52209,1.25927e-05,1.25927e-05,1.25927e-05
91,168.222,0.47073,0.51776,0.89474,0.83884,0.47794,0.525,0.27759,1.86455,2.08865,1.52209,1.16739e-05,1.16739e-05,1.16739e-05
92,169.963,0.69944,0.67912,0.97923,0.81558,0.4863,0.53887,0.28199,1.85615,2.01781,1.50261,1.07315e-05,1.07315e-05,1.07315e-05
93,171.665,0.4837,0.46405,0.99533,0.81558,0.4863,0.53887,0.28199,1.85615,2.01781,1.50261,9.76562e-06,9.76562e-06,9.76562e-06
94,173.327,0.55111,0.47437,0.88744,0.81558,0.4863,0.53887,0.28199,1.85615,2.01781,1.50261,8.77613e-06,8.77613e-06,8.77613e-06
95,175.001,0.43794,0.45983,0.90517,0.81558,0.4863,0.53887,0.28199,1.85615,2.01781,1.50261,7.76308e-06,7.76308e-06,7.76308e-06
96,176.762,0.46207,0.51133,0.97422,0.83566,0.46668,0.54324,0.31117,1.86835,2.01473,1.49838,6.72648e-06,6.72648e-06,6.72648e-06
97,178.445,0.70661,0.63608,1.06869,0.83566,0.46668,0.54324,0.31117,1.86835,2.01473,1.49838,5.6663e-06,5.6663e-06,5.6663e-06
98,180.128,0.52301,0.4874,0.91349,0.83566,0.46668,0.54324,0.31117,1.86835,2.01473,1.49838,4.58257e-06,4.58257e-06,4.58257e-06
99,181.844,0.48174,0.46914,0.91095,0.83566,0.46668,0.54324,0.31117,1.86835,2.01473,1.49838,3.47528e-06,3.47528e-06,3.47528e-06
100,183.631,0.55997,0.51632,1.02384,0.83167,0.46667,0.57753,0.3551,1.80232,1.84686,1.47151,2.34442e-06,2.34442e-06,2.34442e-06
